country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests__1m_pop
World,"1,346,036","+73,135","74,654","+5,227","278,534","992,848","47,459",173,9.6,,
China,"81,740",+32,"3,331",,"77,167","1,242",211,57,2,,
USA,"367,004","+30,331","10,871","+1,255","19,671","336,462","8,879","1,109",33,"1,914,540","5,784"
Spain,"136,675","+5,029","13,341",+700,"40,437","82,897","6,931","2,923",285,"355,000","7,593"
Italy,"132,547","+3,599","16,523",+636,"22,837","93,187","3,898","2,192",273,"721,732","11,937"
Germany,"103,375","+3,252","1,810",+226,"28,700","72,865","4,895","1,234",22,"918,460","10,962"
France,"98,010","+5,171","8,911",+833,"17,250","71,849","7,072","1,502",137,"224,254","3,436"
Iran,"60,500","+2,274","3,739",+136,"24,236","32,525","4,083",720,45,"186,000","2,214"
UK,"51,608","+3,802","5,373",+439,135,"46,100","1,559",760,79,"252,958","3,726"
Turkey,"30,217","+3,148",649,+75,"1,326","28,242","1,415",358,8,"202,845","2,405"
Switzerland,"21,657",+557,765,+50,"8,056","12,836",391,"2,502",88,"162,500","18,776"
Belgium,"20,814","+1,123","1,632",+185,"3,986","15,196","1,257","1,796",141,"70,000","6,040"
Netherlands,"18,803",+952,"1,867",+101,250,"16,686","1,409","1,097",109,"86,589","5,053"
Canada,"16,667","+1,155",323,+43,"3,616","12,728",426,442,9,"330,901","8,767"
Austria,"12,297",+246,220,+16,"3,463","8,614",250,"1,365",24,"111,296","12,357"
Brazil,"12,183",+929,564,+78,127,"11,492",296,57,3,"54,824",258
Portugal,"11,730",+452,311,+16,140,"11,279",270,"1,150",31,"110,000","10,788"
S. Korea,"10,284",+47,186,+3,"6,598","3,500",55,201,4,"461,233","8,996"
Israel,"8,904",+474,57,+8,585,"8,262",140,"1,029",7,"109,724","12,677"
Sweden,"7,206",+376,477,+76,205,"6,524",590,714,47,"36,900","3,654"
Russia,"6,343",+954,47,+2,406,"5,890",8,43,0.3,"758,000","5,194"
Australia,"5,895",+145,45,+8,"2,432","3,418",96,231,2,"303,536","11,903"
Norway,"5,865",+178,76,+5,32,"5,757",83,"1,082",14,"111,299","20,530"
Ireland,"5,364",+370,174,+16,25,"5,165",165,"1,086",35,"30,213","6,119"
Czechia,"4,822",+235,78,+11,121,"4,623",84,450,7,"85,014","7,939"
Chile,"4,815",+344,37,+3,728,"4,050",327,252,2,"54,864","2,870"
India,"4,778",+489,136,+18,375,"4,267",,3,0.10,"140,293",102
Denmark,"4,681",+312,187,+8,"1,378","3,116",144,808,32,"52,936","9,139"
Poland,"4,413",+311,107,+13,162,"4,144",50,117,3,"85,467","2,258"
Romania,"4,057",+193,176,+25,406,"3,475",179,211,9,"40,987","2,131"
Japan,"3,906",+252,92,+7,592,"3,222",64,31,0.7,"46,172",365
Malaysia,"3,793",+131,62,+1,"1,241","2,490",102,117,2,"55,566","1,717"
Pakistan,"3,766",+609,53,+6,259,"3,454",17,17,0.2,"35,875",162
Ecuador,"3,747",+101,191,+11,100,"3,456",156,212,11,"13,039",739
Philippines,"3,660",+414,163,+11,73,"3,424",1,33,1,"22,958",210
Luxembourg,"2,843",+39,41,+5,500,"2,302",33,"4,542",65,"24,291","38,805"
Saudi Arabia,"2,605",+203,38,+4,551,"2,016",41,75,1,,
Peru,"2,561",+280,92,+9,997,"1,472",89,78,3,"20,414",619
Indonesia,"2,491",+218,209,+11,192,"2,090",,9,0.8,"11,460",42
Thailand,"2,220",+51,26,+3,793,"1,401",23,32,0.4,"25,071",359
Serbia,"2,200",+292,58,+7,118,"2,024",101,252,7,"8,552",979
Finland,"2,176",+249,27,,300,"1,849",81,393,5,"32,800","5,920"
Mexico,"2,143",+253,94,+15,633,"1,416",293,17,0.7,"18,034",140
Panama,"2,100",+299,55,+9,14,"2,031",88,487,13,"10,297","2,386"
UAE,"2,076",+277,11,+1,167,"1,898",1,210,1,"220,000","22,244"
Qatar,"1,832",+228,4,,131,"1,697",37,636,1,"38,108","13,227"
Dominican Republic,"1,828",+83,86,+4,33,"1,709",147,169,8,"4,542",419
Greece,"1,755",+20,79,+6,269,"1,407",90,168,8,"26,193","2,513"
South Africa,"1,686",+31,12,+1,95,"1,579",7,28,0.2,"58,098",980
Argentina,"1,628",+74,53,+7,325,"1,250",94,36,1,"10,709",237
Colombia,"1,579",+94,46,+11,88,"1,445",50,31,0.9,"27,685",544
Iceland,"1,562",+76,6,+2,460,"1,096",11,"4,577",18,"27,880","81,701"
Algeria,"1,423",+103,173,+21,90,"1,160",46,32,4,"3,359",77
Singapore,"1,375",+66,6,,344,"1,025",25,235,1,"65,000","11,110"
Egypt,"1,322",+149,85,+7,259,978,,13,0.8,"25,000",244
Ukraine,"1,319",+11,38,+1,28,"1,253",16,30,0.9,"5,864",134
Croatia,"1,222",+40,16,+1,130,"1,076",36,298,4,"11,464","2,793"
Morocco,"1,120",+99,80,+10,81,959,1,30,2,"5,104",138
Estonia,"1,108",+11,19,+4,62,"1,027",14,835,14,"21,866","16,484"
New Zealand,"1,106",+67,1,,176,929,3,229,0.2,"39,918","8,278"
Iraq,"1,031",+70,64,+3,344,623,,26,2,,
Slovenia,"1,021",+24,30,+2,102,889,30,491,14,"28,253","13,590"
Moldova,965,+101,19,+4,37,909,80,239,5,,
Hong Kong,915,+24,4,,216,695,12,122,0.5,"96,709","12,900"
Lithuania,843,+32,15,+2,8,820,11,310,6,"25,599","9,403"
Armenia,833,+11,8,+1,62,763,30,281,3,"4,929","1,663"
Bahrain,756,+56,4,,458,294,4,444,2,"47,684","28,023"
Hungary,744,+11,38,+4,67,639,17,77,4,"22,282","2,307"
Diamond Princess,712,,11,,619,82,10,,,,
Belarus,700,+138,13,+5,53,634,11,74,1,"40,000","4,233"
Bosnia and Herzegovina,674,+20,29,+6,47,598,4,205,9,"5,934","1,809"
Kuwait,665,+109,1,,103,561,20,156,0.2,,
